customer_state,total_orders,avg_delivery_days,total_late_deliveries,late_delivery_rate_pct,avg_days_to_approve,avg_days_to_carrier,avg_days_in_transit
AL,397,24.5,95,23.93,0.5,2.9,21.1
MA,717,21.5,141,19.67,0.7,2.9,17.9
PI,476,19.4,76,15.97,0.5,2.6,16.3
CE,1279,21.2,196,15.32,0.5,2.8,17.9
SE,335,21.5,51,15.22,0.5,3.1,17.9
BA,3256,19.3,457,14.04,0.6,2.7,16
RJ,12350,15.2,1664,13.47,0.5,2.8,11.9
TO,274,17.6,35,12.77,0.6,2.8,14.2
PA,946,23.7,117,12.37,0.6,2.9,20.3
ES,1995,15.7,244,12.23,0.5,2.8,12.4
MS,701,15.5,81,11.55,0.5,2.6,12.4
PB,517,20.4,57,11.03,0.6,2.8,16.9
PE,1593,18.4,172,10.8,0.5,2.7,15.1
RN,474,19.2,51,10.76,0.5,3,15.7
SC,3546,14.9,346,9.76,0.6,2.8,11.6
GO,1957,15.5,160,8.18,0.6,2.5,12.4
RS,5344,15.2,382,7.15,0.6,2.6,12
DF,2080,12.9,147,7.07,0.5,2.7,9.7
MT,886,18,60,6.77,0.7,2.5,14.9
SP,40494,8.7,2387,5.89,0.5,2.7,5.6
MG,11354,11.9,637,5.61,0.5,2.7,8.7
PR,4923,11.9,246,5,0.6,2.7,8.7
AM,145,26.4,6,4.14,0.5,2.4,23.4
RO,243,19.3,7,2.88,0.7,2.1,16.5
